country,happinessIndex,secret
Finland,7.82,Freedom & not wanting to complain
Denmark,7.64,Hygge: refers to creating a cozy and comfortable atmosphere
Iceland,7.56,Having a pool culture (It's in the water)
Switzerland,7.51,Chocolate & cheese
Netherlands,7.42,Bicycling Culture
